IR_value,BPM,AvgBPM
1201,119.76,90
1194,19.09,90
1187,19.09,90
1168,19.09,90
0,19.09,90
0,12.18,90
1231,12.18,90
1216,12.18,90
1209,12.18,90
1208,12.18,90
0,12.18,90
0,12.18,90
1215,12.18,90
1205,12.18,90
1201,12.18,90
1190,12.18,90
0,12.18,90
1201,12.18,90
1205,12.18,90
1196,12.18,90
1190,12.18,90
0,12.18,90
0,12.18,90
1199,12.18,90
1200,12.18,90
1186,12.18,90
1189,12.18,90
1173,12.18,90
0,12.18,90
1197,12.18,90
1201,12.18,90
1198,12.18,90
1199,12.18,90
1183,12.18,90
0,12.18,90
0,12.18,90
1190,1.72,90
1249,1.72,90
1252,30.9,77
1252,30.9,77
1255,30.9,77
0,30.9,77
0,30.9,77
1304,30.9,77
1296,30.9,77
1289,30.9,77
0,30.9,77
1311,30.9,77
1298,30.9,77
1300,30.9,77
1286,30.9,77
0,30.9,77
1304,30.9,77
1298,30.9,77
1292,30.9,77
1288,30.9,77
1299,30.9,77
0,30.9,77
1311,30.9,77
1305,2.53,77
1301,2.53,77
1297,2.53,77
1299,2.53,77
1303,2.53,77
1293,2.53,77
1293,2.53,77
1285,2.53,77
0,2.53,77
0,2.53,77
0,2.53,77
1309,2.53,77
1305,2.53,77
1306,2.53,77
1311,2.53,77
1305,2.53,77
1314,2.53,77
1309,2.53,77
1301,2.53,77
1300,2.53,77
1295,2.53,77
1299,2.53,77
1298,2.53,77
1300,2.53,77
1307,2.53,77
1312,2.53,77
1310,2.53,77
1315,2.53,77
1304,2.53,77
1311,2.53,77
1317,2.53,77
1310,2.53,77
1312,2.53,77
1302,2.53,77
1300,2.53,77
1309,2.53,77
1299,2.53,77
1310,2.53,77
1310,2.53,77
1311,2.53,77
1299,2.53,77
1304,2.53,77
1311,2.53,77
1309,2.53,77
1310,2.53,77
1307,2.53,77
1309,2.53,77
1311,2.53,77
1307,2.53,77
1298,2.53,77
1309,2.53,77
1310,1.09,77
1307,1.09,77
1307,1.09,77
1310,1.09,77
1312,1.09,77
442,1.09,77
133068,9.25,77
135742,9.25,77
136343,22.04,64
135473,22.04,64
136534,37.93,52
262143,37.93,52
262143,37.93,52
140608,37.93,52
139591,37.93,52
262143,37.93,52
262143,37.93,52
262143,7.83,52
0,7.83,52
262143,27.49,29
262143,68.1,38
262143,37.95,42
262143,37.95,42
138796,37.95,42
262143,85.59,52
262143,124.74,74
262143,88.24,91
0,61.1,85
262143,63.76,72
262143,63.76,72
262143,63.76,72
0,20.52,55
262143,90.77,66
262143,93.75,91
262143,62.43,83
0,69.69,78
262143,74.91,69
262143,69.69,71
262143,80.97,74
0,74.91,71
262143,83.22,74
262143,74.91,75
0,81.08,77
262143,90.77,80
262143,76.82,81
138331,78.84,77
0,59.94,69
262143,66.59,67
262143,71.34,67
0,76.82,71
0,76.82,77
262143,69.69,77
262143,68.1,75
0,74.91,69
262143,68.1,69
262143,73.08,70
262143,76.82,72
0,44.09,66
130919,44.09,66
131470,44.09,66
0,44.09,66
0,44.09,66
132586,44.09,66
132609,44.09,66
0,7.93,66
131752,7.93,66
135334,26.53,54
136937,26.53,54
135844,34.84,45
135147,34.84,45
0,34.84,45
129010,34.84,45
132798,34.84,45
133827,34.84,45
0,34.84,45
0,34.84,45
133789,34.84,45
133818,5.63,45
134036,68.1,53
132538,68.1,53
129651,68.1,53
129659,68.1,53
129261,68.1,53
0,12.44,53
129853,12.44,53
132477,12.44,53
134296,12.44,53
0,12.75,53
133917,41.07,57
133671,41.07,57
0,73.08,54
133824,73.08,54
134009,83.33,59
133585,83.33,59
0,29.97,57
133641,37.93,48
133375,37.93,48
0,37.93,48
133476,19.71,48
0,19.71,48
133755,19.71,48
133628,14.91,48
0,63.76,53
133726,142.52,77
130064,142.52,77
0,142.52,77
131502,142.52,77
131314,142.52,77
0,142.52,77
132353,142.52,77
134295,142.52,77
0,142.52,77
135020,5.82,77
135252,5.82,77
0,31.22,75
135076,31.22,75
135240,24.16,65
0,24.16,65
132550,32.93,57
130428,32.93,57
0,32.93,57
122777,32.93,57
996,32.93,57
0,32.93,57
1204,32.93,57
912,32.93,57
1079,32.93,57
1838,32.93,57
0,32.93,57
1914,32.93,57
1866,32.93,57
0,4.07,57
1797,29.97,29
1725,29.97,29
0,29.97,29
1630,21.1,26
1589,21.1,26
0,28.54,27
1539,49.14,31
1492,49.14,31
0,49.14,31
1484,83.22,45
1487,61.16,55
1452,61.16,55
1444,31.55,56
0,31.55,56
0,19.85,56
1393,19.85,56
1382,19.85,56
1382,23.78,49
1294,31.88,36
656,124.74,52
0,124.74,52
649,124.74,52
639,124.74,52
0,58.77,59
865,62.43,68
723,63.76,76
686,63.76,76
0,31.55,53
689,31.55,53
685,31.55,53
672,31.55,53
0,31.55,53
692,31.55,53
681,8.32,53
677,8.32,53
0,8.32,53
693,8.32,53
684,8.32,53
690,8.32,53
681,8.32,53
0,8.32,53
700,8.32,53
702,8.32,53
693,8.32,53
0,8.32,53
708,8.32,53
690,8.32,53
686,8.32,53
0,8.32,53
714,8.32,53
697,8.32,53
0,8.32,53
0,8.32,53
704,2.6,53
695,2.6,53
0,2.6,53
713,2.6,53
703,2.6,53
709,2.6,53
0,2.6,53
704,2.6,53
680,2.6,53
688,5.95,53
0,57.64,53
691,57.64,53
690,57.64,53
682,57.64,53
0,57.64,53
0,57.64,53
703,57.64,53
690,57.64,53
683,57.64,53
0,57.64,53
730,57.64,53
708,4.61,53
693,4.61,53
703,33.3,46
0,33.3,46
716,21.1,35
708,21.1,35
690,21.1,35
689,21.1,35
0,21.1,35
710,21.1,35
699,9.08,35
693,9.08,35
690,9.08,35
699,9.08,35
699,9.08,35
0,9.08,35
712,9.08,35
698,9.08,35
699,9.08,35
703,9.08,35
0,9.08,35
709,9.08,35
690,4.48,35
714,4.48,35
0,4.48,35
0,16.29,35
785,66.59,44
792,66.59,44
778,66.59,44
793,66.59,44
0,66.59,44
805,66.59,44
799,66.59,44
792,66.59,44
0,66.59,44
0,66.59,44
810,66.59,44
2672,66.59,44
511,66.59,44
3971,66.59,44
0,66.59,44
118667,66.59,44
125010,66.59,44
126374,66.59,44
0,66.59,44
131359,66.59,44
131404,66.59,44
130653,66.59,44
130568,66.59,44
0,66.59,44
124458,66.59,44
112964,66.59,44
262143,66.59,44
262143,66.59,44
0,66.59,44
133922,66.59,44
134007,66.59,44
134105,1.74,44
0,1.74,44
134627,27.24,36
134502,66.59,45
134171,66.59,45
0,66.59,45
133486,15.86,45
133087,40.49,49
132834,40.49,49
0,40.49,49
131822,40.49,49
71456,40.49,49
0,40.49,49
125107,40.49,49
125575,40.49,49
126138,40.49,49
0,40.49,49
130636,40.49,49
130622,40.49,49
0,40.49,49
129574,40.49,49
128701,40.49,49
127180,40.49,49
2897,40.49,49
504,40.49,49
473,40.49,49
0,40.49,49
465,40.49,49
458,40.49,49
0,40.49,49
477,40.49,49
473,2.24,49
467,2.24,49
0,2.24,49
466,2.24,49
462,2.24,49
467,2.24,49
0,2.24,49
477,2.24,49
465,2.24,49
467,2.24,49
0,2.24,49
708,2.24,49
488,2.24,49
0,2.24,49
0,2.24,49
548,3.49,49
0,36.54,42
541,52.59,48
526,83.22,52
525,83.22,52
0,83.22,52
535,83.22,52
522,83.22,52
529,83.22,52
516,83.22,52
513,83.22,52
0,83.22,52
0,83.22,52
530,5.31,52
528,5.31,52
521,5.31,52
0,5.31,52
0,5.31,52
520,10.55,52
527,10.55,52
510,10.55,52
0,20.81,47
0,20.81,47
536,20.81,47
525,20.81,47
522,20.81,47
517,20.81,47
0,20.81,47
0,20.81,47
522,6.18,47
513,6.18,47
0,6.18,47
532,6.18,47
531,6.18,47
529,6.18,47
528,6.18,47
527,6.18,47
534,6.18,47
518,6.18,47
523,6.18,47
517,6.18,47
517,6.18,47
0,6.18,47
0,6.18,47
516,6.18,47
524,6.18,47
522,6.18,47
516,6.18,47
510,6.18,47
0,6.18,47
539,6.18,47
520,6.18,47
526,6.18,47
532,6.18,47
523,6.18,47
0,6.18,47
0,6.18,47
526,1.94,47
527,1.94,47
0,1.94,47
0,1.94,47
528,1.94,47
523,1.94,47
0,1.94,47
535,1.94,47
528,1.94,47
518,1.94,47
516,1.94,47
512,1.94,47
0,1.94,47
0,1.94,47
530,1.94,47
528,1.94,47
1706,1.94,47
532,1.94,47
500,1.94,47
501,1.94,47
0,2.72,47
523,2.72,47
509,2.72,47
492,2.72,47
501,2.72,47
502,2.72,47
0,2.72,47
0,2.72,47
559,2.72,47
544,5.71,47
537,56.55,52
530,56.55,52
0,56.55,52
551,56.55,52
538,56.55,52
0,11.02,52
0,11.02,52
526,11.02,52
540,16.29,52
532,16.29,52
525,16.29,52
530,16.29,52
528,16.29,52
0,16.29,52
0,16.29,52
550,16.29,52
532,16.29,52
532,16.29,52
528,16.29,52
0,16.29,52
0,16.29,52
540,16.29,52
542,16.29,52
533,16.29,52
532,16.29,52
519,16.29,52
0,16.29,52
555,16.29,52
544,2.68,52
540,2.68,52
528,2.68,52
0,2.68,52
0,2.68,52
517,2.68,52
514,2.68,52
517,2.68,52
0,2.68,52
510,2.68,52
0,2.68,52
525,2.68,52
506,2.68,52
513,2.68,52
505,2.68,52
507,2.68,52
507,2.68,52
501,2.68,52
0,2.68,52
0,2.68,52
537,56.55,53
562,56.55,53
526,38.41,42
558,38.41,42
517,38.41,42
523,18.17,42
527,18.17,42
0,18.17,42
0,18.17,42
541,18.17,42
533,18.17,42
535,18.17,42
522,18.17,42
530,18.17,42
532,18.17,42
0,18.17,42
0,18.17,42
553,4.28,42
550,4.28,42
546,4.28,42
535,4.28,42
544,4.28,42
538,4.28,42
538,4.28,42
531,4.28,42
537,4.28,42
542,4.28,42
539,4.28,42
532,4.28,42
536,4.28,42
542,4.28,42
0,4.09,42
0,40.51,47
129609,150.0,71
131336,150.0,71
128670,150.0,71
125357,150.0,71
131767,150.0,71
128778,150.0,71
127785,150.0,71
127250,150.0,71
0,150.0,71
126098,150.0,71
0,150.0,71
125406,150.0,71
125353,150.0,71
125475,4.01,71
0,96.77,81
125405,80.97,97
125288,85.59,77
125297,107.14,88
0,73.08,86
125185,90.91,77
125013,73.08,68
124579,78.84,69
124694,78.84,69
124412,37.45,69
0,40.51,57
0,29.38,46
124060,96.62,50
123849,90.77,63
123934,35.27,62
124134,96.77,96
124289,96.77,96
124000,96.77,96
122901,96.77,96
122693,96.77,96
0,96.77,96
0,9.89,96
123682,34.05,82
124049,34.05,82
124330,34.05,82
0,34.05,82
0,34.05,82
124788,11.02,82
124513,73.17,72
124459,76.82,67
123706,85.59,79
123165,85.59,79
0,85.59,79
120310,85.59,79
119777,85.59,79
119740,85.59,79
0,176.47,102
0,176.47,102
121769,176.47,102
122362,176.47,102
122623,176.47,102
123273,176.47,102
123591,176.47,102
123702,176.47,102
123575,88.24,106
123580,71.34,105
123825,115.16,88
0,115.16,88
0,26.76,72
124067,59.94,69
